# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
4,1485049912613069,1485049913032366,419297,80391442589,80391861247,418658,0.957806,0.905402,0.98579,0.982227
6,1485049912646502,1485049913282623,636121,80391475954,80392111491,635537,0.963538,0.917703,0.987844,0.985067
94,1485049914114425,1485049914667218,552793,80392943929,80393496051,552122,0.951615,0.895036,0.981883,0.977927
102,1485049914247924,1485049914800680,552756,80393077381,80393629519,552138,0.950052,0.88953,0.982535,0.978092
106,1485049914314654,1485049914867405,552751,80393144134,80393696245,552111,0.952028,0.897169,0.981392,0.977523
110,1485049914381345,1485049914934104,552759,80393210833,80393762943,552110,0.952722,0.899668,0.981201,0.977298
114,1485049914448075,1485049915000847,552772,80393277583,80393829704,552121,0.952154,0.898782,0.980619,0.977062
118,1485049914514811,1485049915067613,552802,80393344317,80393896430,552113,0.953452,0.900246,0.982054,0.978054
122,1485049914581518,1485049915134353,552835,80393411011,80393963149,552138,0.95385,0.901019,0.982701,0.977829
126,1485049914648275,1485049915217706,569431,80393477766,80394046534,568768,0.949555,0.897647,0.977642,0.973376
152,1485049915082055,1485049915617979,535924,80393911505,80394446886,535381,0.931668,0.857974,0.972294,0.964737
160,1485049915215472,1485049915751480,536008,80394044938,80394580363,535425,0.931512,0.857092,0.973053,0.9643
168,1485049915348860,1485049915801602,452742,80394178389,80394630417,452028,0.931681,0.85847,0.971775,0.964797
176,1485049915482330,1485049915918374,436044,80394311843,80394747184,435341,0.932684,0.861108,0.971741,0.965202
184,1485049915615769,1485049916035021,419252,80394445267,80394863925,418658,0.933056,0.860635,0.972867,0.965667
192,1485049915749267,1485049916151864,402597,80394578719,80394980721,402002,0.933333,0.861657,0.972611,0.965731
200,1485049915882729,1485049916268631,385902,80394712201,80395097467,385266,0.932535,0.860664,0.971889,0.965053
208,1485049916016149,1485049916385441,369292,80394845651,80395214268,368617,0.932779,0.861164,0.971851,0.965323
216,1485049916149560,1485049916518898,369338,80394979076,80395347723,368647,0.933037,0.86076,0.972916,0.965436
224,1485049916283051,1485049916635724,352673,80395112529,80395464489,351960,0.934258,0.864324,0.973291,0.965159
232,1485049916416526,1485049916752438,335912,80395246012,80395581260,335248,0.933747,0.86375,0.972266,0.965224
240,1485049916549970,1485049916869162,319192,80395379461,80395698030,318569,0.933718,0.862919,0.972574,0.965659
248,1485049916683457,1485049917002624,319167,80395512913,80395831455,318542,0.936173,0.869299,0.97343,0.9657
256,1485049916816836,1485049917119322,302486,80395646366,80395948225,301859,0.935554,0.868492,0.972704,0.965466
264,1485049916950329,1485049917236200,285871,80395779817,80396065024,285207,0.934759,0.866338,0.972638,0.965
272,1485049917083747,1485049917369641,285894,80395913270,80396198476,285206,0.935025,0.866025,0.973637,0.965412
280,1485049917217266,1485049917486418,269152,80396046727,80396315247,268520,0.934979,0.865999,0.973086,0.965853
288,1485049917350718,1485049917619869,269151,80396180175,80396448699,268524,0.935097,0.866545,0.973052,0.965695
296,1485049917484169,1485049917736642,252473,80396313628,80396565471,251843,0.936119,0.869633,0.972963,0.965762
304,1485049917617591,1485049917886776,269185,80396447080,80396715606,268526,0.935847,0.867823,0.973812,0.965906
312,1485049917751131,1485049918003551,252420,80396580532,80396832375,251843,0.936141,0.868618,0.973647,0.966156
320,1485049917884498,1485049918136960,252462,80396713984,80396965826,251842,0.935584,0.86753,0.973295,0.965926
324,1485049917951250,1485049918220355,269105,80396780711,80397049231,268520,0.934379,0.86484,0.972932,0.965365
328,1485049918017946,1485049918287098,269152,80396847411,80397115961,268550,0.935122,0.866764,0.972954,0.9656
